genph_4000|Northerners never think about them whereas Southerners are never really thinking of anything else.
genph_6503|Under normal circumstances Casey was a little fussy when people told him what to do with pictures he had taken.
genph_6504|Poet shook his head, sliding his face mask up on his forehead.
genph_6505|The rubber and glass face mask slipped from Poet's forehead, bounced painlessly off Nick's chin, then disappeared.
genph_6506|A runt with narrow shoulders and that brush haircut hell, you'd pass for a juvenile delinquent of the hotrod set.
genph_6507|Deal furniture with a mahogany finish was neatly arranged as if it stood in the window of a department store.
genph_6508|There was a slight bulge under the left armpit -- a shoulder holster.
genph_6509|And everybody has some kind of grudge.
genph_6510|Phil rubbed his forehead wearily.
genph_6511|Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.
genph_6512|After all, the man had no family, so no one suffered, and everybody was better off for it.
genph_6513|The Angels in the nursery were zigzagging wildly in all directions, seemingly at random.
genph_6514|Sometimes the bubbling sound of geysers came faintly across the plain to the herd of men;;
genph_6515|He had been carrying an Enfield rifle and a holstered navy cap-and-ball pistol.
genph_6516|A brace of pistols, holstered on belts, hung from a peg, along with ammunition pouches.
genph_6517|Mike snatched a pistol from the heap of scattered booty and fired.
genph_6518|Mr. Manuel whispered in the ears of the Sioux that the Cheyennes were comin' to raid'em for their horses.
genph_6519|The War Department wrote Mr. Manuel a letter and said he was a hero.
genph_6520|The pony herd was the one flaw in our defense;;
genph_6521|Buckets were filled, the herd fed and watered.
genph_6522|The war captain had been badly wounded and was fighting to hold his seat.
genph_6523|This time more of them hurdled the barrier.
genph_6524|Above me a dark rider was whipping his pony with a quirt in an attempt to hurdle the bales.
genph_6525|They expected greater things from him, regardless of how trying the circumstances, and they were disappointed.
genph_6526|livable perhaps, but badly in need of repairs.
genph_6527|There was only one place where Jake Carwood's description had gone badly awry: the peace and quiet.
genph_6528|under the circumstances I was only too willing to confess all.
genph_6529|Creighton Hague sat in his office above the Ione pit.
genph_6530|She must be cautious so as not to alert the scheming forest.
genph_6531|In her grim pursuit of tranquillity, Pamela focused her thoughts on her husband.
genph_6532|Beaming idiotically, he pooched out his lips and attempted to kiss her.
genph_6533|She lived by the rules, never compromising, never blinded or diverted by circumstance.
genph_6534|The herd was watered and then thrown onto a broad grass flat which was to be the first night's bedground.
genph_6535|The cook, Mateo Garcia, had arrived there long before the herd.
genph_6536|They were considering it gravely, neither seeming to like what he planned.
genph_6537|The company herds were being raided less often, and cabins and soddies all over the range were standing deserted.
genph_6538|He had made himself the personification of the Devil to the homesteaders.
genph_6539|He moved up and lifted Jess's pistol out of its holster.
genph_6540|He retreated a step and holstered his own.
genph_6541|Sweat bubbled out on Jess's swarthy face.
genph_6542|He shook loose straw out of the action, and placed the gun in his holster.
genph_6543|Everybody left and I stayed in the pool, then Lou came back alone and leaped into the pool too.
genph_6544|Seeming much relieved, she smiled one of those worth-waiting-for smiles, and I smiled all the way into the bedroom.
genph_6545|There was little likelihood of any customers walking in at that hour.
genph_6546|Or, more rhythmically,' The swarthy witches are laughing'??
genph_6547|Nicolas was dreaming he had his head pressed against the dashboard of a speeding car.
genph_6548|Nevertheless, there is no bath.
genph_6549|But as the tree passed, she lifted an arm in gesture of better luck and farewell.
genph_6550|Dimly, we heard the voices of men in mortal agony but we couldn't go back into that inferno.
genph_6551|He took his mask from his forehead and threw it, unexpectedly, across the deck.
genph_6552|The jungle did not retort.
genph_6553|Can't seem to locate landmarks in this snow''.
genph_6554|Lifting her skirts, she climbed in, never relinquishing her grip on his arm.
genph_6555|Real big, with shoulders out to here, and hair all over him like a grizzly.
genph_6556|They went down in a heap and for a long minute there was nothing to see but flailing arms and legs.
genph_6557|but here he was just Signore or the Old Man.
genph_6558|The women said they had seen him wave an exhausted farewell;;
genph_6559|You know it and I'll tell everybody exactly how it happened''.
genph_6560|Anywhere would be better than the land of her ancestors.
genph_6561|Everybody had accepted her for what she was -- a very charming girl.
genph_6562|McKinley was overheard to say that he would like to get the knife into Spencer's possession and that'' --
genph_6563|Only Cromwell, the giant boatswain, was mild-mannered and respectful.
genph_6564|Now Spencer, seeming with effort to shake himself from lethargy, spoke.
genph_6565|The boatswain was as guilty as any.
genph_6566|It was Dolly and Mrs. Thaxter who were calling Via, everybody.
genph_6567|Did many of Sam's countrymen live in boxcars in the bush??
genph_6568|He should have discovered a more tender farewell.
genph_6569|A smile pulled at the lower strip of adhesive tape.
